business,business_type,name,address,city,lat,lng,place_id,data_id,type,rating,reviews_count,phone,website,_engine,canonical_place_id,resolve_status
CIH Bank,banque,CIH Bank,"Projet Al Kora, Avenue Moustapha Assayeh, P1, Rabat 10000, Maroc",Rabat,33.995499099999996,-6.879398999999999,ChIJzb2f5j5tpw0RhodHZnv2kFg,0xda76d3ee69fbdcd:0x5890f67b66478786,Banque,2.4,29.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJzb2f5j5tpw0RhodHZnv2kFg,already_canonical
CIH Bank,banque,CIH Bank Rabat Akkari,"Rue Sidi Mohamed, Rabat 10000, Maroc",Rabat,34.0115408,-6.858739,ChIJhwDGs19spw0RSBtL6CNSZrE,0xda76c5fb3c60087:0xb1665223e84b1b48,Banque,2.0,10.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJhwDGs19spw0RSBtL6CNSZrE,already_canonical
CIH Bank,banque,CIH Bank,"n°, imm. High Tech, 3 Av. Annakhil, Rabat, Maroc",Rabat,33.9574084,-6.8687442999999995,ChIJ_7gi6i0Tpw0Rj3TKlYcrKKY,0xda7132dea22b8ff:0xa6282b8795ca748f,Banque,1.8,91.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJ_7gi6i0Tpw0Rj3TKlYcrKKY,already_canonical
CIH Bank,banque,CIH Bank,"Avenue Al Maghrib Al Arabi, Rue Jazirat Al Arab, Rabat 10000, Maroc",Rabat,33.999387999999996,-6.8444769,ChIJl44S3nBspw0R1G3f_Tz1XC8,0xda76c70de128e97:0x2f5cf53cfddf6dd4,Banque,1.9,61.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJl44S3nBspw0R1G3f_Tz1XC8,already_canonical
CIH Bank,banque,CIH Bank,"47 Av. Allal Ben Abdellah, Rabat 10000, Maroc",Rabat,34.016263599999995,-6.8337264,ChIJqWA8dYdrpw0R-mRTvQ3Lozc,0xda76b87753c60a9:0x37a3cb0dbd5364fa,Banque,2.4,45.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJqWA8dYdrpw0R-mRTvQ3Lozc,already_canonical
CIH Bank,banque,CIH Bank,"Ave Abderrahmane Al Ghafiki, Rabat 10000, Maroc",Rabat,34.0023816,-6.854057999999999,ChIJ-fy4dotspw0RYwHhqYKnvW8,0xda76c8b76b8fcf9:0x6fbda782a9e10163,Banque,2.0,21.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJ-fy4dotspw0RYwHhqYKnvW8,already_canonical
CIH Bank,banque,CIH Banque,"KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000, Maroc",Rabat,33.9742009,-6.8296046,ChIJu4_kslBrpw0R06OBVMz3Gb0,0xda76b50b2e48fbb:0xbd19f7cc5481a3d3,Banque,2.1,19.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJu4_kslBrpw0R06OBVMz3Gb0,already_canonical
CIH Bank,banque,CIH Bank,"21, 10000 Av. Tadla, Rabat 10000, Maroc",Rabat,33.9945427,-6.8241971999999995,ChIJ49-kRW5rpw0RUgJSPeDYv-c,0xda76b6e45a4dfe3:0xe7bfd8e03d520252,Banque,1.9,44.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJ49-kRW5rpw0RUgJSPeDYv-c,already_canonical
CIH Bank,banque,CIH,"9 Rue Jabal Bouiblane, Rabat, Maroc",Rabat,33.994854499999995,-6.847136099999999,ChIJeyN-n4Vspw0RsO7w7aCcfSE,0xda76c859f7e237b:0x217d9ca0edf0eeb0,Banque,1.7,41.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJeyN-n4Vspw0RsO7w7aCcfSE,already_canonical
CIH Bank,banque,CIH BANK,"Avenue d'Alger, Rue Kairaouane, Rabat 10020, Maroc",Rabat,34.0175161,-6.8274102,ChIJVREEewBrpw0RU9eKGTITVoU,0xda76b007b041155:0x85561332198ad753,Banque,4.2,10.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJVREEewBrpw0RU9eKGTITVoU,already_canonical
CIH Bank,banque,CIH Bank,"Av. Al Massira, Rabat, Maroc",Rabat,33.9863553,-6.8763643,ChIJOWiZuuFspw0RomAhDiXOC-o,0xda76ce1ba996839:0xea0bce250e2160a2,Banque,2.1,64.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJOWiZuuFspw0RomAhDiXOC-o,already_canonical
CIH Bank,banque,CIH,"Rue Ourika Hay Nahda Lot N°469, Rabat 10000, Maroc",Rabat,33.9779378,-6.8170885,ChIJBVj0T0Zrpw0RhdC0OiAriq4,0xda76b464ff45805:0xae8a2b203ab4d085,Banque,1.6,37.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJBVj0T0Zrpw0RhdC0OiAriq4,already_canonical
CIH Bank,banque,CIH Bank,"7 Av. Al Abtal, Rabat 10000, Maroc",Rabat,34.0017638,-6.846599899999999,ChIJbRU7aOFtpw0RPHcHgJgd3xM,0xda76de1683b156d:0x13df1d988007773c,Banque,2.0,15.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJbRU7aOFtpw0RPHcHgJgd3xM,already_canonical
CIH Bank,banque,CIH,"150 Av. Abdelkrim Al Khattabi, Rabat 10000, Maroc",Rabat,34.0252652,-6.846094099999999,ChIJARcP9W1spw0Rkgt7nj_hwPI,0xda76c6df50f1701:0xf2c0e13f9e7b0b92,Banque,2.1,32.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJARcP9W1spw0Rkgt7nj_hwPI,already_canonical
CIH Bank,banque,CIH Bank,"4 Av. Sidi Mohamed Ben Abdellah, Rabat 10050, Maroc",Rabat,34.0111492,-6.8586857,ChIJo0wje15spw0R05Yy1dmrFbQ,0xda76c5e7b234ca3:0xb415abd9d53296d3,Banque,3.7,15.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJo0wje15spw0R05Yy1dmrFbQ,already_canonical
CIH Bank,banque,CIH Bank Rabat Imm High Tech,"3 Av. Annakhil, Rabat 10000, Maroc",Rabat,33.956502799999996,-6.8677522,ChIJ7eVj_C0Tpw0Rw2DcMIT6BeM,0xda7132dfc63e5ed:0xe305fa8430dc60c3,Banque,1.0,3.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJ7eVj_C0Tpw0Rw2DcMIT6BeM,already_canonical
CIH Bank,banque,CIH BANK,"Ave Mohamed Ben Abdellah Amal 14, N 9 Al Kora Rabat, 10000, Maroc",Rabat,33.997303699999996,-6.8746211,ChIJ8b3-9jJtpw0R9oJ1jWsaTFY,0xda76d32f6febdf1:0x564c1a6b8d7582f6,Banque,1.5,13.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJ8b3-9jJtpw0R9oJ1jWsaTFY,already_canonical
CIH Bank,banque,CIH agence Riad Al Andalous,"X438+9R6, Rabat, Maroc",Rabat,33.9534526,-6.8829346,ChIJ6ShAOg0Tpw0R9zC4TT_F_ys,0xda7130d3a4028e9:0x2bffc53f4db830f7,Banque,1.6,14.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJ6ShAOg0Tpw0R9zC4TT_F_ys,already_canonical
CIH Bank,banque,Credit Immobilier Et Hotelier (Cih Agence Yacoub Al Mansour),"Av. Al Massira Amal 5, Y Al Mansour, Rabat 10000, Maroc",Rabat,33.9760898,-6.887456599999999,ChIJgdhNliRtpw0RNzgeycZOHK4,0xda76d24964dd881:0xae1c4ec6c91e3837,Banque,1.6,52.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJgdhNliRtpw0RNzgeycZOHK4,already_canonical
CIH Bank,banque,CIH BANK,"Avenue d'Alger, Rue Kairaouan, Rabat 10000, Maroc",Rabat,33.97041,-6.82877,ChIJrVwsHzRrpw0RLNB-q46t93k,0xda76b341f2c5cad:0x79f7ad8eab7ed02c,Banque,4.4,5.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJrVwsHzRrpw0RLNB-q46t93k,already_canonical
CIH Bank,banque,CIH Bank,"Lotisst Iskane, Av. des Oudayas, Rabat 10000, Maroc",Rabat,33.9406386,-6.8850587999999995,ChIJ9Uz-ud0Spw0RYrQlizYPObU,0xda712ddb9fe4cf5:0xb5390f368b25b462,Banque,2.1,17.0,+212 5224-79479,https://www.cihbank.ma/,maps_ll,ChIJ9Uz-ud0Spw0RYrQlizYPObU,already_canonical
