business,business_type,name,address,city,lat,lng,place_id,data_id,type,rating,reviews_count,phone,website,_engine,canonical_place_id,resolve_status
Crédit Agricole,banque,Crédit agricole,"25C4+4FF, Av. Al Maghrib Al Arabi, Rabat, Maroc",Rabat,34.020316199999996,-6.843839999999999,ChIJCYUDUQBtpw0RQgy5qPj4w7Y,0xda76d0051038509:0xb6c3f8f8a8b90c42,Banque,5.0,1.0,,,maps_ll,ChIJCYUDUQBtpw0RQgy5qPj4w7Y,already_canonical
Crédit Agricole,banque,Crédit Agricole,"BLOC AO, N9 Av. Al Kifah, Rabat 10000, Maroc",Rabat,33.9905956,-6.8769534,ChIJJ0SDa-Jspw0R-pPI56CllwI,0xda76ce26b834427:0x297a5a0e7c893fa,Banque,5.0,4.0,,,maps_ll,ChIJJ0SDa-Jspw0R-pPI56CllwI,already_canonical
Crédit Agricole,banque,Crédit Agricole Smart Agence,"28 Av. Abou Faris Al Marini, Rabat 10000, Maroc",Rabat,34.0167104,-6.8337683,ChIJ6eDtpYdrpw0RYFZafjDV-pk,0xda76b87a5ede0e9:0x99fad5307e5a5660,Banque,3.6,33.0,+212 5372-08219,http://www.creditagricole.ma/,maps_ll,ChIJ6eDtpYdrpw0RYFZafjDV-pk,already_canonical
Crédit Agricole,banque,Crédit Agricole,"X5HJ+GV6, Rabat, Maroc",Rabat,33.9787963,-6.817849799999999,ChIJwVPAjkZrpw0RtXOSK04alaA,0xda76b468ec053c1:0xa0951a4e2b9273b5,Banque,4.2,6.0,,http://www.creditagricole.ma/,maps_ll,ChIJwVPAjkZrpw0RtXOSK04alaA,already_canonical
Crédit Agricole,banque,Crédit Agricole du Maroc,"2522+78M, Av. Al Abtal, Rabat 10100, Maroc",Rabat,34.000709,-6.8492131,ChIJRY_DxI5spw0R9byONiXKKnY,0xda76c8ec4c38f45:0x762aca25368ebcf5,Banque,2.4,17.0,+212 5372-08219,http://www.creditagricole.ma/,maps_ll,ChIJRY_DxI5spw0R9byONiXKKnY,already_canonical
Crédit Agricole,banque,Crédit Agricole,"X4XH+4QC, Rabat, Maroc",Rabat,33.9978091,-6.870597699999999,ChIJw2F5qPtspw0Rsc-ft8GAiqc,0xda76cfba87961c3:0xa78a80c1b79fcfb1,Banque,3.0,2.0,+212 5372-30088,,maps_ll,ChIJw2F5qPtspw0Rsc-ft8GAiqc,already_canonical
Crédit Agricole,banque,Crédit Agricole du Maroc,"X4WF+FRX, Av. Sidi Mohamed Ben Abdellah, Rabat, Maroc",Rabat,33.9962367,-6.8753782999999995,ChIJTR-GHv1spw0R0cZ_iJ89DdY,0xda76cfd1e861f4d:0xd60d3d9f887fc6d1,Banque,5.0,4.0,,,maps_ll,ChIJTR-GHv1spw0R0cZ_iJ89DdY,already_canonical
Crédit Agricole,banque,Crédit Agricole,"X46J+8X9, Rabat, Maroc",Rabat,33.9607818,-6.8675139,ChIJi_M3WS0Tpw0RJzTqzr_WxyQ,0xda7132d5937f38b:0x24c7d6bfceea3427,Banque,3.0,4.0,+212 5375-66262,http://www.creditagricole.ma/,maps_ll,ChIJi_M3WS0Tpw0RJzTqzr_WxyQ,already_canonical
Crédit Agricole,banque,Crédit Agricole,"X46F+R4V, Rabat, Maroc",Rabat,33.9621044,-6.877205399999999,ChIJx2ThRNVspw0RHtzetPBe7ls,0xda76cd544e164c7:0x5bee5ef0b4dedc1e,Banque,2.5,6.0,+212 5377-17621,http://www.creditagricole.ma/,maps_ll,ChIJx2ThRNVspw0RHtzetPBe7ls,already_canonical
Crédit Agricole,banque,Crédit agricole,"agence al manal, 10000 Av. Al Massira, Rabat, Maroc",Rabat,33.975600899999996,-6.8890284,ChIJW5ECOzttpw0RtKuJxzSimy8,0xda76d3b3b02915b:0x2f9ba234c789abb4,Banque,4.0,4.0,,http://www.gbp.ma/,maps_ll,ChIJW5ECOzttpw0RtKuJxzSimy8,already_canonical
