_place_id,_business,_city,title,address,lat,lng,place_rating,reviews_count
ChIJZW_wW33Npw0RH8nG1MACfsQ,RMA Assurance,Casablanca,RMA Assurance_Siège Social Casablanca.,"Av. des FAR, Casablanca, Maroc",33.5970867,-7.611310199999999,3.0,171.0
ChIJl54keBjTpw0R2yatLm5l0CA,RMA Assurance,Casablanca,RMA Assurance,"32 Boulevard Bir Anzarane, Casablanca, Maroc",33.5808105,-7.6375972,4.8,19.0
ChIJQxgHxz7Tpw0ReYhop_EIA-w,RMA Assurance,Casablanca,RMA Assurance,"Hay El Hanaa, 25, Bd Sidi Abderrahman, Casablanca 20100, Maroc",33.576329199999996,-7.6725273,3.9,173.0
ChIJ_dppWPsspg0ROW9ZXdgyT6U,RMA Assurance,Casablanca,RMA INTEGRITE ASSURANCES,"12 Résidence KOUTOUBIA Nassim, Casablanca 20190, Maroc",33.5247283,-7.6598773,4.6,129.0
ChIJzZQFQq_Spw0RrJPQa93duKk,RMA Assurance,Casablanca,RMA Assurance,"153 Bd Moulay Idriss I, Casablanca 20250, Maroc",33.5724185,-7.6184987,2.6,11.0
ChIJYZPt0sMSpw0Rp6MTUn0WEa8,Wafa Assurance,Casablanca,Wafa Assurance_Siège Social,"1 Bd Abdelmoumen, Casablanca 20250, Maroc",33.5826224,-7.6235639,3.2,281.0
ChIJsaN84XPTpw0RSBas6LkPUNM,Wafa Assurance,Casablanca,Wafa Assurance,"Bd Yacoub El Mansour, Casablanca, Maroc",33.5713157,-7.6485601,4.8,96.0
ChIJX61X4WTNpw0RA8bu-N68czU,Wafa Assurance,Casablanca,Wafa Assurance,"H9VR+QCR, Rue Pierre Parent Quartier Fonciere, Casablanca, Casablanca 20100, Maroc",33.5944955,-7.608976299999999,2.0,23.0
ChIJYdUBqH0zpg0RQo15tcxuK9M,Wafa Assurance,Casablanca,Wafa Assurance,"74 Av. Abdelkader Essahraoui, Casablanca 20670, Maroc",33.5557661,-7.5454164,4.5,75.0
ChIJaTYIl6gtpg0RjHtYJaBWGx8,Wafa Assurance,Casablanca,Wafa Assurance,"Numéro 141 lot Moulat Thami Taha2 Quartier el Oulfa Hay Hassani Arrahma Sidi Maarouf Casa Anfa Laymoune Ain Diab, Casablanca 20220, Maroc",33.552911699999996,-7.6898931,4.0,13.0
ChIJmdau85fSpw0Rg0X4ArIPLPs,Axa Assurance Maroc,Casablanca,AXA Assurance,"120 Bd Hassan II, Casablanca 20250, Maroc",33.585187399999995,-7.6231677,3.1,389.0
ChIJWdmSoc4zpg0RsKOriINFfFY,Axa Assurance Maroc,Casablanca,Axa Assurance,"HC75+C7W, Casablanca, Maroc",33.563602599999996,-7.591793699999999,2.8,16.0
ChIJxWu60H3Tpw0R4tvDQAcAcv0,Axa Assurance Maroc,Casablanca,AXA Assurance,"73 Av. Houmane El Fetouaki, Casablanca 20080, Maroc",33.5935349,-7.6133931,4.8,16.0
ChIJoYZW7qktpg0RNxYFdjlrN4Y,Axa Assurance Maroc,Casablanca,Axa Assurance,"N 159, MLEK DANDOUNE, ROUTE SIDI MASOUD CT 1100, SIDI MAAROUF, 1100 Route Sidi Maarouf, Casablanca, Maroc",33.514676099999996,-7.6485069999999995,3.2,38.0
ChIJkUyJUeYzpg0R3REPRLOXOYk,Axa Assurance Maroc,Casablanca,"AXA Assurances Maroc, Bureau Direct Afriquia, Casablanca.","386 Av. Al Wahda Al Ifriquia, Casablanca, Maroc",33.5567133,-7.5856049,4.3,3.0
