business,business_type,name,address,city,lat,lng,place_id,data_id,type,rating,reviews_count,phone,website,_engine,canonical_place_id,resolve_status
RMA Assurance,assurance,RMA Assurance_Siège Social Casablanca.,"Av. des FAR, Casablanca, Maroc",Casablanca,33.5970867,-7.611310199999999,ChIJZW_wW33Npw0RH8nG1MACfsQ,0xda7cd7d5bf06f65:0xc47e02c0d4c6c91f,Compagnie d'assurance,3.0,171.0,+212 5223-12163,http://www.rmaassurance.com/,maps_noll,ChIJZW_wW33Npw0RH8nG1MACfsQ,already_canonical
RMA Assurance,assurance,RMA Assurance,"32 Boulevard Bir Anzarane, Casablanca, Maroc",Casablanca,33.5808105,-7.6375972,ChIJl54keBjTpw0R2yatLm5l0CA,0xda7d31878249e97:0x20d0656e2ead26db,Agence d'assurance,4.8,19.0,+212 5229-92672,,maps_noll,ChIJl54keBjTpw0R2yatLm5l0CA,already_canonical
RMA Assurance,assurance,RMA Assurance,"Hay El Hanaa, 25, Bd Sidi Abderrahman, Casablanca 20100, Maroc",Casablanca,33.576329199999996,-7.6725273,ChIJQxgHxz7Tpw0ReYhop_EIA-w,0xda7d33ec7071843:0xec0308f1a7688879,Agence d'assurance,3.9,173.0,+212 5223-64646,,maps_noll,ChIJQxgHxz7Tpw0ReYhop_EIA-w,already_canonical
RMA Assurance,assurance,RMA INTEGRITE ASSURANCES,"12 Résidence KOUTOUBIA Nassim, Casablanca 20190, Maroc",Casablanca,33.5247283,-7.6598773,ChIJ_dppWPsspg0ROW9ZXdgyT6U,0xda62cfb5869dafd:0xa54f32d85d596f39,Agence d'assurance,4.6,129.0,+212 5229-30858,,maps_noll,ChIJ_dppWPsspg0ROW9ZXdgyT6U,already_canonical
RMA Assurance,assurance,RMA Assurance,"153 Bd Moulay Idriss I, Casablanca 20250, Maroc",Casablanca,33.5724185,-7.6184987,ChIJzZQFQq_Spw0RrJPQa93duKk,0xda7d2af420594cd:0xa9b8dddd6bd093ac,Agence d'assurance,2.6,11.0,+212 662-730872,,maps_noll,ChIJzZQFQq_Spw0RrJPQa93duKk,already_canonical
RMA Assurance,assurance,RMA Assurance,"G9J2+XVP, Casablanca, Maroc",Casablanca,33.532471,-7.6477961,ChIJ4d0M3xstpg0RVJMtnC9sd9g,0xda62d1bdf0cdde1:0xd8776c2f9c2d9354,Agence d'assurance,3.7,33.0,+212 5229-75826,https://www.corporate.rmaassurance.com/carrieres/agents,maps_noll,ChIJ4d0M3xstpg0RVJMtnC9sd9g,already_canonical
RMA Assurance,assurance,RMA Assurance,"83, Av. de l'Arm?e Royale -, Casablanca 20000, Maroc",Casablanca,33.595981,-7.6119642,ChIJH7TxrILSpw0RTtZTKkSiMe8,0xda7d282acf1b41f:0xef31a2442a53d64e,Compagnie d'assurance,3.5,89.0,+212 5223-10169,,maps_noll,ChIJH7TxrILSpw0RTtZTKkSiMe8,already_canonical
RMA Assurance,assurance,RMA Assurance,"GCP7+CCC, Casablanca 20500, Maroc",Casablanca,33.5360696,-7.5864869,ChIJL2FRGcUzpg0RAlEJw8ILozI,0xda633c51951612f:0x32a30bc2c3095102,Agence d'assurance,3.6,20.0,+212 5225-27954,,maps_noll,ChIJL2FRGcUzpg0RAlEJw8ILozI,already_canonical
RMA Assurance,assurance,Centre Rma Service,"15 Rue Omar Slaoui, Casablanca 20670, Maroc",Casablanca,33.5882583,-7.6189336999999995,ChIJ2aHpHj_Tpw0RoLfBMzrAXE8,0xda7d33f1ee9a1d9:0x4f5cc03a33c1b7a0,Compagnie d'assurance automobile,4.0,73.0,+212 5224-34646,http://www.rmawatanya.ma/,maps_noll,ChIJ2aHpHj_Tpw0RoLfBMzrAXE8,already_canonical
RMA Assurance,assurance,RMA Assurance,"91 Bd Moulay Hassan I, Casablanca 20100, Maroc",Casablanca,33.5945584,-7.6209302999999995,ChIJ_VSFx5rSpw0RT059lIST6fQ,0xda7d29ac78554fd:0xf4e99384947d4e4f,Compagnie d'assurance,3.7,33.0,+212 5223-12163,https://www.rmaassurance.com/,maps_noll,ChIJ_VSFx5rSpw0RT059lIST6fQ,already_canonical
