city,business,pos_rate,lat,lon
??? ???????,Cih Bank,1.0,33.879548094017096,-6.823138983760682
A?n El Aouda,Attijariwafa Bank,1.0,33.8028327,-6.7932598
Afourer,Banque Populaire,0.5,32.20719020000001,-6.540299699999999
Agadir,Banque Populaire,1.0,30.405225860307016,-9.558504184210525
Agdal Riyad,Cih Bank,0.75,33.95692145454545,-6.868113475757577
Ahfir,Banque Populaire,1.0,34.9551432,-2.10250545
Ain Taoujdate,Attijariwafa Bank,1.0,33.9390934125,-5.2109868125
Ait Melloul,Cih Bank,1.0,30.343084385826778,-9.500808199999991
Al Aaroui,Attijariwafa Bank,1.0,35.010443412499995,-3.00761145
Asilah,Cih Bank,1.0,35.46504505,-6.034372249999999
Azrou,Banque Populaire,1.0,33.44321735789474,-5.227296705263157
Belfaa,Banque Populaire,1.0,30.0473273,-9.5654131
Ben Slimane,Cih Bank,1.0,33.61677580769231,-7.125229342307692
Beni-Mellal,Cih Bank,1.0,32.336422034117646,-6.356327270588233
Berkane,Attijariwafa Bank,1.0,34.92597168444445,-2.3266135444444442
Berrechid,Banque Populaire,1.0,33.26814319807692,-7.582564432692309
Biougra,Cih Bank,1.0,30.21774689999999,-9.3720634
Bir Jdid,Cih Bank,0.5,33.371709,-7.996856
Boumalne Dades,Banque Populaire,1.0,31.37157403333333,-5.9858379
Bouskoura,Cih Bank,1.0,33.45393842164179,-7.642773688805969
Bouznika,Cih Bank,1.0,33.78500007857143,-7.159189278571427
Casablanca,Attijariwafa Bank,1.0,33.57367209411168,-7.603793808629442
Chefchaouen,Cih Bank,1.0,35.16826165581396,-5.265216274418605
Dcheira El Jihadia,Cih Bank,1.0,30.370728190243902,-9.54046326585366
Driouch,Attijariwafa Bank,1.0,34.976791033333335,-3.3969203666666665
El Hajeb,Banque Populaire,1.0,33.6813673,-5.3729044
El Jadida,Cih Bank,1.0,33.24250536796875,-8.511880794531248
El Kelaa des Sraghna,Cih Bank,1.0,32.049215593103455,-7.408342972413792
El Maarif,Banque Populaire,0.5,33.57688452222222,-7.6376983222222234
El Youssoufia,Attijariwafa Bank,1.0,33.9847860875,-6.82237393125
Erfoud,Attijariwafa Bank,1.0,31.434538,-4.2336953
