Business,Reviews,Agencies,Avg Reviews/Agency,Avg Rating,% Positive,% Negative
Cih Bank,5789,266,21.8,1.76,15.2%,80.3%
Banque Populaire,2307,394,5.9,2.54,32.8%,58.3%
Attijariwafa Bank,1652,188,8.8,2.25,26.5%,65.6%
Saham Bank,1416,235,6.0,2.12,23.1%,68.9%
Bmce Bank Of Africa,1389,164,8.5,2.41,31.5%,61.8%
Al Barid Bank,692,98,7.1,2.91,40.3%,51.9%
Crédit Du Maroc,626,131,4.8,2.51,29.2%,57.5%
Bmci,602,132,4.6,2.18,22.8%,67.3%
Cfg Bank,216,16,13.5,2.9,44.9%,53.2%
Crédit Agricole,203,69,2.9,3.26,42.4%,36.5%
CIH Bank,60,4,15.0,1.5,11.7%,85.0%
