_place_id,_city,_business,title,date,rating,text,author,sentiment,categories_json,language,rationale,"Accueil chaleureux et personnel attentionné (expérience humaine positive, sentiment d'être bien accueilli)","Service client réactif et à l'écoute (problèmes résolus rapidement, vraie disponibilité)","Conseil personnalisé et professionnalisme des équipes (expertise perçue, accompagnement individualisé)","Efficacité et rapidité de traitement (fluidité, peu d'attente, processus clairs)","Accessibilité et proximité des services (agences, guichets, présence locale, simplicité d'accès)",Satisfaction sans détails spécifiques (le client indique que le service ou l'agence est bien sans explication ),"Expérience digitale et services en ligne pratiques (application fluide, opérations faciles à distance )","Attente interminable et lenteur en agence (files d'attente, effectifs insuffisants)","Service client injoignable ou non réactif (téléphone, e-mail, promesses de rappel non tenues)","Réclamations ignorées ou mal suivies (absence de retour, sentiment d'abandon)","Incidents techniques et erreurs récurrentes (cartes bloquées, pannes système, erreurs de compte)",Frais bancaires jugés abusifs ou non justifiés (perception de déséquilibre prix/service),Insatisfaction sans détails spécifiques (le client indique que le service ou l'agence est nul sans explication ),"Manque de considération ou attitude peu professionnelle (accueil froid, ton condescendant, sentiment de mépris)","Hors-sujet ou contenu non pertinent (ex. « Bon restau », « Je cherche du travail »)",Autre (positif),Autre (négatif)
ChIJ6eDtpYdrpw0RYFZafjDV-pk,Rabat,Crédit Agricole,Crédit Agricole Smart Agence,il y a 2 ans,1.0,"Expérience décevante!!! Je me suis rendue à la SMART agence Annaba CAM mercredi 29 mars à l’ouverture… et même en étant la première et seule cliente de l’agence j’ai été très mal accueillie! Service médiocre, personnel hautain, pas de wifi et c’est au client de chercher les coordonnées des autres agences CAM du réseau car « le personnel n’a pas accès au net » très smart!!! J’essaie de faire une réclamation via le numéro proposé sur le site, aucune réponse! Je fais ma réclamation par mail et aucun retour à ce jour… c’est dire à quel point on est sérieux et respectueux des clients au crédit agricole",Lamia Benhida,Négatif,"[{""label"": ""Manque de consid\u00e9ration ou attitude peu professionnelle (accueil froid, ton condescendant, sentiment de m\u00e9pris)"", ""confidence"": 0.9}, {""label"": ""Service client injoignable ou non r\u00e9actif (t\u00e9l\u00e9phone, e-mail, promesses de rappel non tenues)"", ""confidence"": 0.85}, {""label"": ""R\u00e9clamations ignor\u00e9es ou mal suivies (absence de retour, sentiment d'abandon)"", ""confidence"": 0.8}]",fr,"Accueil hautain, service client non réactif, réclamations sans suivi.",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
ChIJ6eDtpYdrpw0RYFZafjDV-pk,Rabat,Crédit Agricole,Crédit Agricole Smart Agence,il y a 6 mois,1.0,Design du GAB totalement inaccessible aux personnes de tailles moyennes ou en situation de handicap physique voir en chaise roulante; c'est capacitiste et inconsiderable!,N.,Négatif,"[{""label"": ""Manque de consid\u00e9ration ou attitude peu professionnelle (accueil froid, ton condescendant, sentiment de m\u00e9pris)"", ""confidence"": 0.85}]",fr,Critique sur l'accessibilité et le manque de considération envers les personnes handicapées.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ChIJ6eDtpYdrpw0RYFZafjDV-pk,Rabat,Crédit Agricole,Crédit Agricole Smart Agence,il y a 7 ans,5.0,"Excente initiative, l'une des premières smart agence au Maroc, une très bonne expérience très utile surtout dans cet endroit précis, je recommande aux gens l'utilisation des services de cette agence. Pas d'opération sont disponibles sans l'intervention humaine. Donc plus rapide",Smart Edge,Positif,"[{""label"": ""Efficacit\u00e9 et rapidit\u00e9 de traitement (fluidit\u00e9, peu d'attente, processus clairs)"", ""confidence"": 0.85}, {""label"": ""Accueil chaleureux et personnel attentionn\u00e9 (exp\u00e9rience humaine positive, sentiment d'\u00eatre bien accueilli)"", ""confidence"": 0.7}]",fr,"Le client souligne la rapidité grâce à l'intervention humaine et recommande l'agence, ce qui indique une bonne expérience humaine et efficacité.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ6eDtpYdrpw0RYFZafjDV-pk,Rabat,Crédit Agricole,Crédit Agricole Smart Agence,il y a 6 ans,5.0,Autre fois BNDE donne sur la gare de Rabat ville,Imad CHERKAOUI,Positif,"[{""label"": ""Accessibilit\u00e9 et proximit\u00e9 des services (agences, guichets, pr\u00e9sence locale, simplicit\u00e9 d'acc\u00e8s)"", ""confidence"": 0.8}]",fr,"Mention de l'emplacement de l'agence proche de la gare, ce qui indique une bonne accessibilité.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ6eDtpYdrpw0RYFZafjDV-pk,Rabat,Crédit Agricole,Crédit Agricole Smart Agence,il y a 8 ans,1.0,Tres mauvais accueil dans l agence de prestigia hay riad aucun respect je suis tres decue par leur comportement,sara boutachali,Négatif,"[{""label"": ""Manque de consid\u00e9ration ou attitude peu professionnelle (accueil froid, ton condescendant, sentiment de m\u00e9pris)"", ""confidence"": 0.95}]",fr,Client déçu par le comportement et le manque de respect à l'accueil.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ChIJ6eDtpYdrpw0RYFZafjDV-pk,Rabat,Crédit Agricole,Crédit Agricole Smart Agence,il y a 2 ans,1.0,"Aucune réponse
Aucun numéro n'es joignable pas de sevice client
Aucune assistance",Ayoub El Idrissi,Négatif,"[{""label"": ""Service client injoignable ou non r\u00e9actif (t\u00e9l\u00e9phone, e-mail, promesses de rappel non tenues)"", ""confidence"": 0.95}]",fr,Client se plaint de l'injoignabilité totale du service client.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChIJ6eDtpYdrpw0RYFZafjDV-pk,Rabat,Crédit Agricole,Crédit Agricole Smart Agence,il y a 8 ans,5.0,Agence au coeur de ville équipe dynamique ça fait plaisir,teta moun,Positif,"[{""label"": ""Accueil chaleureux et personnel attentionn\u00e9 (exp\u00e9rience humaine positive, sentiment d'\u00eatre bien accueilli)"", ""confidence"": 0.8}, {""label"": ""Accessibilit\u00e9 et proximit\u00e9 des services (agences, guichets, pr\u00e9sence locale, simplicit\u00e9 d'acc\u00e8s)"", ""confidence"": 0.7}]",fr,Mention d'une équipe dynamique (accueil positif) et emplacement central (proximité).,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ6eDtpYdrpw0RYFZafjDV-pk,Rabat,Crédit Agricole,Crédit Agricole Smart Agence,il y a 6 ans,4.0,Smart agence crédit agricole pré de la gare du rabat ville,طريق العطاري,Positif,"[{""label"": ""Accessibilit\u00e9 et proximit\u00e9 des services (agences, guichets, pr\u00e9sence locale, simplicit\u00e9 d'acc\u00e8s)"", ""confidence"": 0.8}, {""label"": ""Satisfaction sans d\u00e9tails sp\u00e9cifiques (le client indique que le service ou l'agence est bien sans explication )"", ""confidence"": 0.6}]",fr,"Mention positive de l'agence proche de la gare, note 4 sans détails.",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ChIJ6eDtpYdrpw0RYFZafjDV-pk,Rabat,Crédit Agricole,Crédit Agricole Smart Agence,il y a 7 ans,5.0,Projet fait par l'architecte Youssef derouich,rachid saidi,Neutre,"[{""label"": ""Hors-sujet ou contenu non pertinent (ex. \u00ab Bon restau \u00bb, \u00ab Je cherche du travail \u00bb)"", ""confidence"": 0.95}]",fr,Contenu non lié à la banque.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ChIJ6eDtpYdrpw0RYFZafjDV-pk,Rabat,Crédit Agricole,Crédit Agricole Smart Agence,il y a 7 ans,5.0,un nouveau concept très sympa,Mounir BELMAHI,Positif,"[{""label"": ""Autre (positif)"", ""confidence"": 0.9}]",fr,Avis positif mais sans lien clair avec catégories spécifiques.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
